"" ,"frames_scrubbed" ,"frames_OK" ,"FD" ,"FD_scrubbed"
"sp0007_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,69.754071977403427 ,71.673589038848874
"sp0008_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,45.150292059387823 ,46.655789089202884
"sp0009_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,17.379850040782582 ,16.068126487731934
"sp0010_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,18.031387858920628 ,18.157402992248535
"sp0011_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,23.948913901743264 ,24.349175977706910
"sp0013_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,26.164289647882637 ,26.765451240539551
"sp0014_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,39.906756121702870 ,41.376960325241086
"sp0015_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,21.193126350942283 ,20.239492797851561
"sp0016_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,7.574280392039906 ,7.640572583675384
"sp0018_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,6.496483219994439 ,6.113328051567078
"sp0019_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,36.099057322800761 ,35.463398504257199
"sp0022_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,11.271317491627704 ,11.501471567153931
"sp0028_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,25.097418525002219 ,25.282729530334471
"sp0031_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,16.042150877942941 ,15.908513021469116
"sp0032_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,8.372098296579688 ,8.147468912601472
"sp0033_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,15.843258308641838 ,15.916916823387146
"sp0035_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,14.204384456981312 ,13.718064451217652
"sp0039_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,74.470768668434843 ,73.151304054260251
"sp0040_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,15.348021324234779 ,14.317538833618164
"sp0041_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,5.493397375549933 ,5.273135733604431
"sp0048_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,9.634406446206450 ,9.532889199256896
"sp0053_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,37.644202068598581 ,38.358048915863037
"sp0054_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,73.011345449120114 ,72.355626964569097
"sp0057_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,223.744855244954437 ,207.359088706970226
"sp0058_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,10.396694645737156 ,10.398133158683777
"sp0060_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,119.749666541513776 ,127.033284759521479
"sp0061_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,12.645607081326572 ,12.681058192253113
"sp0067_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,18.665580990338565 ,20.482313156127930
"sp0068_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,11.993678786537863 ,13.505944752693177
"sp0071_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,25.974427907153814 ,25.437121343612670
"sp0072_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,2.502284473843045 ,2.771710669994354
"sp0073_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,10.052006755212341 ,10.157884073257446
"sp0074_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,74.683332231309677 ,76.482375335693362
"sp0077_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,107.782234307491422 ,108.816687774658206
"sp0078_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,26.432104900629835 ,25.973653554916382
"sp0079_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,62.064809818460482 ,59.650604629516600
"sp0085_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,32.264215295965023 ,31.566028594970703
"sp0090_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,69.447566754890204 ,67.438099384307861
"sp0091_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,41.723647917159880 ,42.228278923034665
"sp0094_sess1_rest1" ,21.000000000000000 ,135.000000000000000 ,0.185626449459983 ,0.164350172254577
"sp0095_sess1_rest1" ,12.000000000000000 ,144.000000000000000 ,0.261014907254327 ,0.251889544871304
"sp0096_sess1_rest1" ,19.000000000000000 ,137.000000000000000 ,0.200173732962820 ,0.168463651022381
"sp0098_sess1_rest1" ,32.000000000000000 ,124.000000000000000 ,0.182699085459594 ,0.152963932543024
"sp0099_sess1_rest1" ,0.000000000000000 ,156.000000000000000 ,0.119169194780050 ,0.119169194780050
"sp0100_sess1_rest1" ,9.000000000000000 ,147.000000000000000 ,0.195777358138754 ,0.181167421658358
"sp0102_sess1_rest1" ,41.000000000000000 ,59.000000000000000 ,34.038752499512086 ,0.035209923984493
"sp0103_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,75.011024937485203 ,75.789049911499021
"sp0106_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,32.355121997871784 ,29.937803792953492
"sp0107_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,45.960810467864228 ,33.524972222279757
"sp0108_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,139.293072743849308 ,132.195222282409674
"sp0111_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,53.214161728367664 ,52.529363059997557
"sp0118_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,195.961463465835095 ,210.385667228698736
"sp0123_sess1_rest1" ,54.000000000000000 ,46.000000000000000 ,42.070087227889459 ,0.023201547142415
"sp0124_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,177.542524010244051 ,188.194715118408197
"sp0125_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,95.699739321313729 ,98.758143806457525
"sp0128_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,59.660866669934208 ,61.577044391632079
"sp0137_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,35.288552370938390 ,35.793467426300047
"sp0138_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,47.866391942958636 ,48.776204872131345
"sp0139_sess1_rest1" ,4.000000000000000 ,152.000000000000000 ,0.177644622794563 ,0.174051872436081
"sp0142_sess1_rest1" ,29.000000000000000 ,127.000000000000000 ,0.247036101020152 ,0.225862585599460
"sp0145_sess1_rest1" ,22.000000000000000 ,134.000000000000000 ,0.254382860924928 ,0.165201504144873
"sp0147_sess1_rest1" ,83.000000000000000 ,73.000000000000000 ,0.388476291106593 ,0.261931795371722
"sp0149_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,27.860525015628699 ,27.935941028594971
"sp0150_sess1_rest1" ,19.000000000000000 ,137.000000000000000 ,0.120945309204680 ,0.096451632356655
"sp0151_sess1_rest1" ,0.000000000000000 ,156.000000000000000 ,0.140323535617321 ,0.140323535617321
"sp0155_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,101.678553186281761 ,109.825657081604007
"sp0156_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,23.716512988312076 ,24.847521400451662
"sp0157_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,45.946230377813784 ,46.666888141632079
"sp0158_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,55.147403061991987 ,56.875392055511476
"sp0159_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,41.210969847862167 ,42.943626308441161
"sp0161_sess1_rest1" ,38.000000000000000 ,118.000000000000000 ,0.231468539108192 ,0.198179579797690
"sp0162_sess1_rest1" ,61.000000000000000 ,95.000000000000000 ,0.398711642695050 ,0.228056441477322
"sp0163_sess1_rest1" ,12.000000000000000 ,144.000000000000000 ,0.176257055180688 ,0.155736230001166
"sp0164_sess1_rest1" ,20.000000000000000 ,136.000000000000000 ,0.186337758829787 ,0.165369431661545
"sp0165_sess1_rest1" ,22.000000000000000 ,134.000000000000000 ,0.239019770968345 ,0.204852421200813
"sp0166_sess1_rest1" ,4.000000000000000 ,152.000000000000000 ,0.167997984275703 ,0.162606177962576
"sp0167_sess1_rest1" ,0.000000000000000 ,156.000000000000000 ,0.174085127033534 ,0.174085127033534
"sp0170_sess1_rest1" ,27.000000000000000 ,129.000000000000000 ,0.200209133399110 ,0.155439981521340
"sp0171_sess1_rest1" ,82.000000000000000 ,74.000000000000000 ,0.524280313943182 ,0.183949643439830
"sp0172_sess1_rest1" ,0.000000000000000 ,156.000000000000000 ,0.087432844852728 ,0.087432844852728
"sp0173_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,80.020602216624255 ,81.554192256927493
"sp0174_sess1_rest1" ,52.000000000000000 ,48.000000000000000 ,70.062023919232146 ,0.016371300735689
"sp0175_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,193.722688290371622 ,184.836490394585326
"sp0177_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,31.938507869990186 ,31.934420394897462
"sp0178_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,51.326917128129438 ,53.484150028228761
"sp0179_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,51.733288081005369 ,51.956062412261964
"sp0181_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,32.926188285904701 ,34.414474773406980
"sp0182_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,24.105354829268023 ,25.026894664764406
"sp0183_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,157.743612085158617 ,190.135033078072581
"sp0195_sess1_rest1" ,87.000000000000000 ,69.000000000000000 ,0.762005959451199 ,0.224983853452346
"sp0196_sess1_rest1" ,10.000000000000000 ,146.000000000000000 ,0.150614939269520 ,0.139763196711910
"sp0197_sess1_rest1" ,53.000000000000000 ,103.000000000000000 ,0.267111030108324 ,0.162367099320843
"sp0198_sess1_rest1" ,113.000000000000000 ,43.000000000000000 ,1.454338288403326 ,0.651123823901249
"sp0203_sess1_rest1" ,0.000000000000000 ,156.000000000000000 ,0.121574660823230 ,0.121574660823230
"sp0204_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,43.139193640814888 ,42.004621553421018
"sp0206_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,62.027333731603143 ,62.355381679534915
"sp0207_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,16.314239376723165 ,16.139602136611938
"sp0209_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,20.983576630101059 ,21.662748193740846
"sp0210_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,40.935460832383896 ,41.641541957855225
"sp0211_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,53.826767121902620 ,55.342223739624025
"sp0238_sess1_rest1" ,61.000000000000000 ,95.000000000000000 ,0.320366458666901 ,0.148175727340736
"sp0241_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,116.764472190779870 ,115.311396980285650
"sp0242_sess1_rest1" ,5.000000000000000 ,151.000000000000000 ,0.130446153206210 ,0.125530307541291
"sp0246_sess1_rest1" ,32.000000000000000 ,124.000000000000000 ,0.197479915571578 ,0.157122176531101
"sp0251_sess1_rest1" ,116.000000000000000 ,40.000000000000000 ,1.408073984170633 ,0.361022332635445
"sp0255_sess1_rest1" ,36.000000000000000 ,120.000000000000000 ,0.258733610688679 ,0.228183872966456
"sp0269_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,21.513037652680367 ,21.328583717346191
"sp0270_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,24.024022092722884 ,23.995749902725219
"sp0271_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,37.604305305866284 ,37.237765693664549
"sp0275_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,71.688714422360817 ,71.214532470703119
"sp0276_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,67.111760958276619 ,67.124203300476069
"sp0281_sess1_rest1" ,0.000000000000000 ,156.000000000000000 ,0.110544264244456 ,0.110544264244456
"sp0282_sess1_rest1" ,98.000000000000000 ,58.000000000000000 ,0.392474647563311 ,0.208473570066793
"sp0283_sess1_rest1" ,0.000000000000000 ,156.000000000000000 ,0.187915482251875 ,0.187915482251875
"sp0284_sess1_rest1" ,112.000000000000000 ,44.000000000000000 ,0.409186166512870 ,0.201966470713879
"sp0285_sess1_rest1" ,14.000000000000000 ,142.000000000000000 ,0.194731665318531 ,0.171815406294986
"sp0286_sess1_rest1" ,39.000000000000000 ,117.000000000000000 ,0.222598201613272 ,0.158531328823803
"sp0287_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,69.505628951872239 ,70.713536643981939
"sp0288_sess1_rest1" ,115.000000000000000 ,41.000000000000000 ,0.544643741173129 ,0.388680069148540
"sp0293_sess1_rest1" ,71.000000000000000 ,85.000000000000000 ,0.510775394365191 ,0.128900637961037
"sp0297_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,109.389996923581521 ,111.442428016662603
"sp0298_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,26.812476341170495 ,27.111418533325196
"sp0299_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,31.452482924247857 ,1.353050512821392
"sp0302_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,124.579733492148037 ,143.453134822845470
"sp0310_sess1_rest1" ,12.000000000000000 ,288.000000000000000 ,0.138118878212511 ,0.126827070839989
"sp0315_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,86.834228284431219 ,91.038821792602533
"sp0316_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,70.667946748059208 ,71.585712623596194
"sp0321_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.071803877566222 ,0.071803877566222
"sp0329_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,32.409075553971107 ,30.749257659912111
"sp0335_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,29.140549746426668 ,28.854008197784424
"sp0341_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,74.263874073221231 ,83.538708209991455
"sp0343_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,96.831541774248834 ,92.281090259552002
"sp0360_sess1_rest1" ,107.000000000000000 ,49.000000000000000 ,2.194895573131620 ,0.176202904433012
"sp0364_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,24.315916697184246 ,24.073657226562499
"sp0365_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,45.528077655368378 ,41.833680295944212
"sp0366_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,22.873268435699771 ,23.333009147644042
"sp0368_sess1_rest1" ,21.000000000000000 ,135.000000000000000 ,0.229838124374228 ,0.192098010331392
"sp0372_sess1_rest1" ,15.000000000000000 ,141.000000000000000 ,0.180759065958761 ,0.143168014394386
"sp0373_sess1_rest1" ,35.000000000000000 ,121.000000000000000 ,0.265413365200643 ,0.174920727374653
"sp0383_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,21.075224173189415 ,21.652089786529540
"sp0392_sess1_rest1" ,10.000000000000000 ,290.000000000000000 ,0.112246096532879 ,0.106753803351346
"sp0393_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.084546963924100 ,0.084546963924100
"sp0394_sess1_rest1" ,22.000000000000000 ,134.000000000000000 ,0.239074270504258 ,0.189225613936588
"sp0395_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,91.290109306874896 ,106.191505622863772
"sp0406_sess1_rest1" ,96.000000000000000 ,60.000000000000000 ,0.484320497873329 ,0.248120477833485
"sp0409_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.093367797711920 ,0.093367797711920
"sp0410_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.079780976587041 ,0.079780976587041
"sp0411_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,24.537944369845921 ,25.257201051712038
"sp0412_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,64.719996558295350 ,64.575088024139404
"sp0416_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,11.188453385324189 ,11.465130352973938
"sp0427_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,59.362686041629672 ,55.791888427734378
"sp0428_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,29.444227430555557 ,29.887391757965087
"sp0431_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,13.319500133244679 ,14.085228204727173
"sp0432_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,19.793074232159238 ,19.941389274597167
"sp0433_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,16.094836726333156 ,16.320367765426635
"sp0434_sess1_rest1" ,116.000000000000000 ,40.000000000000000 ,1.731857131085088 ,1.100671976613693
"sp0437_sess1_rest1" ,48.000000000000000 ,252.000000000000000 ,0.188420252930560 ,0.144590192637037
"sp0437_sess1_rest2" ,60.000000000000000 ,240.000000000000000 ,0.293967167532265 ,0.160975569383744
"sp0438_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,24.419658622356376 ,24.220592689514159
"sp0449_sess1_rest1" ,70.000000000000000 ,86.000000000000000 ,0.450657573558631 ,0.193293900787830
"sp0451_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,36.920568389121932 ,36.667827653884885
"sp0452_sess1_rest1" ,26.000000000000000 ,130.000000000000000 ,0.247531476688962 ,0.218702393913498
"sp0453_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,123.000701287780146 ,124.504270744323733
"sp0454_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,10.283372956092911 ,10.262950515747070
"sp0456_sess1_rest1" ,31.000000000000000 ,125.000000000000000 ,0.241619690315377 ,0.206492662519938
"sp0464_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,18.441683932988330 ,18.218907403945924
"sp0466_sess1_rest1" ,4.000000000000000 ,152.000000000000000 ,0.123357571457182 ,0.116964859715262
"sp0470_sess1_rest1" ,100.000000000000000 ,56.000000000000000 ,0.381280991452044 ,0.208059478754347
"sp0473_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,19.327325204406122 ,20.168887948989870
"sp0474_sess1_rest1" ,223.000000000000000 ,77.000000000000000 ,0.608183872540260 ,0.203743663763529
"sp0479_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,59.030708852440419 ,59.181615161895749
"sp0481_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.136663344131166 ,0.136663344131166
"sp0482_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.100518893058035 ,0.100518893058035
"sp0485_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,23.273350763802576 ,23.471194648742674
"sp0486_sess1_rest1" ,0.000000000000000 ,156.000000000000000 ,0.141383582617967 ,0.141383582617967
"sp0504_sess1_rest1" ,116.000000000000000 ,40.000000000000000 ,0.784715798304927 ,0.521270940701167
"sp0511_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,62.348377458976977 ,63.374180698394774
"sp0513_sess1_rest1" ,27.000000000000000 ,273.000000000000000 ,0.176681881568809 ,0.157139526451561
"sp0514_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,46.896759534122971 ,44.291605138778685
"sp0519_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,14.186119879134978 ,14.325100111961365
"sp0521_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,10.790392735991816 ,11.044285702705384
"sp0526_sess1_rest1" ,16.000000000000000 ,284.000000000000000 ,0.200573332956603 ,0.191144225954378
"sp0527_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,15.876872004884662 ,15.874816942214967
"sp0530_sess1_rest1" ,102.000000000000000 ,54.000000000000000 ,0.399440458969724 ,0.208489697004827
"sp0531_sess1_rest1" ,115.000000000000000 ,41.000000000000000 ,0.615756308999393 ,0.222026443853974
"sp0532_sess1_rest1" ,12.000000000000000 ,144.000000000000000 ,0.214732242447715 ,0.197898530142589
"sp0533_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.107534556434705 ,0.107534556434705
"sp0536_sess1_rest1" ,74.000000000000000 ,82.000000000000000 ,0.412989671047657 ,0.281970802603698
"sp0539_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.096799940132477 ,0.096799940132477
"sp0543_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.105117521644336 ,0.105117521644336
"sp0548_sess1_rest1" ,5.000000000000000 ,295.000000000000000 ,0.102079643135934 ,0.098487161055562
"sp0555_sess1_rest1" ,65.000000000000000 ,91.000000000000000 ,0.376674354316727 ,0.179413327078025
"sp0556_sess1_rest1" ,4.000000000000000 ,152.000000000000000 ,0.183009394065988 ,0.179421138117053
"sp0557_sess1_rest1" ,49.000000000000000 ,107.000000000000000 ,0.581617962713203 ,0.167870786146454
"sp0560_sess1_rest1" ,31.000000000000000 ,125.000000000000000 ,0.208599673211575 ,0.184936436073434
"sp0561_sess1_rest1" ,10.000000000000000 ,290.000000000000000 ,0.187786899220485 ,0.181980268004959
"sp0562_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,16.732133171775125 ,17.965938210487366
"sp0566_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,19.341514597035417 ,18.994568252563475
"sp0566_sess1_rest2" ,60.000000000000000 ,40.000000000000000 ,10.656248410542807 ,10.945091629028321
"sp0572_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,12.339448784336899 ,12.539886331558227
"sp0573_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,12.449122274764861 ,12.618360495567321
"sp0574_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,17.527581157106340 ,17.812834262847900
"sp0576_sess1_rest1" ,106.000000000000000 ,50.000000000000000 ,0.402789910089585 ,0.166890333443880
"sp0577_sess1_rest1" ,26.000000000000000 ,130.000000000000000 ,0.226367699318836 ,0.157797279847107
"sp0580_sess1_rest1" ,0.000000000000000 ,300.000000000000000 ,0.108063063556235 ,0.108063063556235
"sp0584_sess1_rest1" ,40.000000000000000 ,116.000000000000000 ,0.274085716831107 ,0.184985560826633
"sp0585_sess1_rest1" ,66.000000000000000 ,90.000000000000000 ,0.383268686720440 ,0.174813750043009
"sp0586_sess1_rest1" ,13.000000000000000 ,143.000000000000000 ,0.229458083272230 ,0.218018484590192
"sp0587_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,24.772369866419321 ,25.793441009521484
"sp0588_sess1_rest1" ,21.000000000000000 ,135.000000000000000 ,0.300964204702647 ,0.289215478962704
"sp0593_sess1_rest1" ,60.000000000000000 ,40.000000000000000 ,48.991872845274031 ,49.476163005828859
